id,date,hour_of_day,day_of_week,appointment
170,4/7/2021,4,3,1
171,4/7/2021,0,3,1
172,4/7/2021,0,3,0
173,4/7/2021,1,3,1
174,4/7/2021,1,3,1
175,4/7/2021,2,3,1
176,4/7/2021,2,3,1
177,4/7/2021,3,3,1
178,4/7/2021,0,3,1
179,4/7/2021,4,3,0
180,4/7/2021,1,3,1
181,4/7/2021,2,3,1
182,4/7/2021,3,3,1
183,4/7/2021,0,3,1
184,4/7/2021,1,3,1
185,4/7/2021,5,3,0
186,4/7/2021,2,3,1
187,4/7/2021,3,3,1
188,4/7/2021,0,3,1
189,4/7/2021,4,3,0
190,4/7/2021,1,3,1
191,4/7/2021,2,3,1
192,4/7/2021,3,3,1
193,4/7/2021,5,3,0
194,4/7/2021,2,3,1
195,4/7/2021,6,3,0
196,4/8/2021,0,4,0
197,4/8/2021,1,4,0
198,4/8/2021,2,4,0
199,4/8/2021,3,4,0
200,4/8/2021,0,4,1
201,4/8/2021,2,4,0
202,4/8/2021,1,4,1
203,4/8/2021,2,4,1
204,4/8/2021,3,4,1
205,4/8/2021,3,4,0
206,4/8/2021,0,4,1
207,4/8/2021,4,4,1
208,4/8/2021,1,4,1
209,4/8/2021,7,4,0
210,4/8/2021,4,4,0
211,4/8/2021,2,4,1
212,4/8/2021,5,4,0
213,4/8/2021,6,4,0
214,4/8/2021,7,4,0
215,4/8/2021,4,4,0
216,4/8/2021,3,4,1
217,4/8/2021,5,4,0
218,4/8/2021,4,4,0
219,4/8/2021,0,4,0
220,4/8/2021,0,4,1
221,4/8/2021,1,4,1
222,4/8/2021,1,4,0
223,4/8/2021,2,4,1
224,4/8/2021,3,4,1
225,4/8/2021,2,4,0
226,4/8/2021,0,4,1
227,4/8/2021,4,4,1
228,4/8/2021,4,4,0
229,4/8/2021,5,4,1
230,4/8/2021,6,4,1
231,4/8/2021,7,4,1
232,4/8/2021,5,4,0
233,4/8/2021,4,4,0
234,4/8/2021,4,4,1
235,4/8/2021,5,4,1
236,4/8/2021,5,4,0
237,4/8/2021,3,4,1
238,4/8/2021,6,4,0
239,4/9/2021,2,5,1
240,4/9/2021,0,5,1
241,4/9/2021,3,5,0
242,4/9/2021,2,5,1
243,4/9/2021,1,5,1
244,4/9/2021,3,5,0
245,4/9/2021,2,5,1
246,4/9/2021,3,5,1
247,4/9/2021,0,5,1
248,4/9/2021,4,5,0
249,4/9/2021,1,5,1
250,4/9/2021,7,5,0
251,4/9/2021,2,5,1
252,4/9/2021,4,5,0
253,4/9/2021,5,5,0
254,4/9/2021,3,5,1
255,4/9/2021,0,5,1
256,4/9/2021,6,5,0
257,4/9/2021,7,5,0
258,4/9/2021,4,5,0
259,4/9/2021,1,5,1
260,4/9/2021,5,5,0
261,4/9/2021,4,5,0
262,4/9/2021,0,5,0
263,4/9/2021,2,5,1
264,4/9/2021,3,5,1
265,4/9/2021,1,5,1
266,4/9/2021,0,5,1
267,4/9/2021,4,5,1
268,4/9/2021,2,5,0
269,4/9/2021,5,5,1
270,4/9/2021,6,5,1
271,4/9/2021,4,5,0
272,4/9/2021,7,5,1
273,4/9/2021,4,5,1
274,4/9/2021,5,5,1
275,4/9/2021,5,5,0
276,4/9/2021,4,5,0
277,4/9/2021,3,5,1
278,4/9/2021,0,5,1
279,4/9/2021,5,5,0
280,4/9/2021,1,5,1
281,4/9/2021,6,5,0
282,4/12/2021,0,1,1
283,4/12/2021,1,1,1
284,4/12/2021,2,1,1
285,4/12/2021,4,1,0
286,4/12/2021,3,1,1
287,4/12/2021,0,1,0
288,4/12/2021,0,1,1
289,4/12/2021,1,1,1
290,4/12/2021,2,1,1
291,4/12/2021,1,1,0
292,4/12/2021,3,1,1
293,4/12/2021,0,1,1
294,4/12/2021,1,1,1
295,4/12/2021,2,1,0
296,4/12/2021,2,1,1
297,4/12/2021,3,1,1
298,4/12/2021,0,1,1
299,4/12/2021,4,1,0
300,4/12/2021,1,1,1
301,4/12/2021,5,1,0
302,4/12/2021,2,1,1
303,4/12/2021,4,1,0
304,4/12/2021,3,1,1
305,4/12/2021,0,1,1
306,4/12/2021,1,1,1
307,4/12/2021,2,1,1
308,4/12/2021,3,1,1
309,4/12/2021,0,1,1
310,4/12/2021,1,1,1
311,4/12/2021,2,1,1
312,4/12/2021,3,1,1
313,4/12/2021,2,1,1
314,4/12/2021,5,1,0
315,4/12/2021,3,1,1
316,4/12/2021,4,1,1
317,4/12/2021,7,1,1
318,4/12/2021,6,1,0
319,4/12/2021,4,1,1
320,4/12/2021,5,1,1
321,4/12/2021,6,1,1
322,4/12/2021,0,1,0
323,4/12/2021,7,1,1
324,4/12/2021,1,1,1
325,4/12/2021,1,1,1
326,4/12/2021,4,1,1
327,4/12/2021,2,1,0
328,4/12/2021,5,1,1
329,4/13/2021,3,2,1
330,4/13/2021,0,2,1
331,4/13/2021,1,2,1
332,4/13/2021,1,2,1
333,4/13/2021,1,2,1
334,4/13/2021,2,2,1
335,4/13/2021,3,2,1
336,4/13/2021,1,2,1
337,4/13/2021,1,2,1
338,4/13/2021,1,2,1
339,4/13/2021,0,2,1
340,4/13/2021,1,2,1
341,4/13/2021,1,2,1
342,4/13/2021,1,2,1
343,4/13/2021,2,2,1
344,4/13/2021,2,2,0
345,4/13/2021,3,2,1
346,4/13/2021,0,2,1
347,4/13/2021,1,2,1
348,4/13/2021,1,2,1
349,4/13/2021,1,2,1
350,4/13/2021,4,2,0
351,4/13/2021,2,2,1
352,4/13/2021,3,2,1
353,4/13/2021,0,2,1
354,4/13/2021,5,2,0
355,4/13/2021,1,2,1
356,4/13/2021,1,2,1
357,4/13/2021,1,2,1
358,4/13/2021,4,2,0
359,4/13/2021,2,2,1
360,4/13/2021,5,2,0
361,4/13/2021,3,2,1
362,4/13/2021,0,2,1
363,4/13/2021,1,2,1
364,4/13/2021,1,2,1
365,4/13/2021,1,2,1
366,4/13/2021,2,2,1
367,4/13/2021,3,2,1
368,4/13/2021,2,2,1
369,4/13/2021,3,2,1
370,4/13/2021,4,2,1
371,4/13/2021,7,2,1
372,4/13/2021,4,2,1
373,4/13/2021,6,2,0
374,4/13/2021,5,2,1
375,4/13/2021,6,2,1
376,4/13/2021,7,2,1
377,4/13/2021,0,2,0
378,4/13/2021,4,2,1
379,4/13/2021,5,2,1
380,4/13/2021,4,2,1
381,4/13/2021,1,2,1
382,4/13/2021,1,2,1
383,4/13/2021,1,2,1
384,4/13/2021,0,2,1
385,4/13/2021,2,2,0
386,4/14/2021,4,3,0
387,4/14/2021,5,3,0
388,4/14/2021,6,3,0
389,4/14/2021,3,3,1
390,4/14/2021,0,3,1
391,4/14/2021,7,3,0
392,4/14/2021,1,3,1
393,4/14/2021,1,3,1
394,4/14/2021,1,3,1
395,4/14/2021,2,3,1
396,4/14/2021,3,3,1
397,4/14/2021,4,3,0
398,4/14/2021,0,3,1
399,4/14/2021,5,3,0
400,4/14/2021,1,3,1
401,4/14/2021,4,3,0
402,4/14/2021,0,3,0
403,4/14/2021,2,3,1
404,4/14/2021,1,3,1
405,4/14/2021,2,3,0
406,4/14/2021,3,3,1
407,4/14/2021,4,3,0
408,4/14/2021,0,3,1
409,4/14/2021,5,3,0
410,4/14/2021,4,3,0
411,4/14/2021,1,3,1
412,4/14/2021,2,3,1
413,4/14/2021,3,3,1
414,4/14/2021,5,3,0
415,4/14/2021,0,3,1
416,4/14/2021,1,3,1
417,4/14/2021,2,3,1
418,4/14/2021,3,3,1
419,4/14/2021,0,3,1
420,4/14/2021,6,3,0
421,4/14/2021,1,3,1
422,4/14/2021,2,3,1
423,4/14/2021,3,3,1
424,4/14/2021,0,3,0
425,4/14/2021,2,3,1
426,4/14/2021,3,3,1
427,4/14/2021,4,3,1
428,4/14/2021,1,3,0
429,4/14/2021,7,3,1
430,4/14/2021,2,3,0
431,4/15/2021,3,4,1
432,4/15/2021,2,4,0
433,4/15/2021,3,4,1
434,4/15/2021,4,4,0
435,4/15/2021,3,4,1
436,4/15/2021,7,4,0
437,4/15/2021,0,4,1
438,4/15/2021,1,4,1
439,4/15/2021,2,4,1
440,4/15/2021,4,4,0
441,4/15/2021,3,4,1
442,4/15/2021,5,4,0
443,4/15/2021,4,4,1
444,4/15/2021,6,4,0
445,4/15/2021,7,4,0
446,4/15/2021,5,4,1
447,4/15/2021,4,4,0
448,4/15/2021,5,4,0
449,4/15/2021,4,4,0
450,4/15/2021,0,4,0
451,4/15/2021,6,4,1
452,4/15/2021,1,4,0
453,4/15/2021,2,4,0
454,4/15/2021,4,4,0
455,4/15/2021,7,4,1
456,4/15/2021,5,4,1
457,4/15/2021,5,4,0
458,4/15/2021,4,4,1
459,4/15/2021,2,4,1
460,4/15/2021,4,4,0
461,4/15/2021,3,4,1
462,4/15/2021,0,4,1
463,4/15/2021,5,4,0
464,4/15/2021,1,4,1
465,4/15/2021,2,4,1
466,4/15/2021,3,4,1
467,4/15/2021,6,4,0
468,4/15/2021,3,4,0
469,4/15/2021,0,4,1
470,4/15/2021,1,4,1
471,4/15/2021,0,4,0
472,4/15/2021,2,4,1
473,4/15/2021,1,4,0
474,4/16/2021,4,5,0
475,4/16/2021,2,5,1
476,4/16/2021,5,5,0
477,4/16/2021,6,5,0
478,4/16/2021,3,5,1
479,4/16/2021,7,5,0
480,4/16/2021,0,5,1
481,4/16/2021,1,5,1
482,4/16/2021,2,5,1
483,4/16/2021,4,5,0
484,4/16/2021,3,5,1
485,4/16/2021,5,5,0
486,4/16/2021,0,5,1
487,4/16/2021,4,5,0
488,4/16/2021,5,5,0
489,4/16/2021,1,5,1
490,4/16/2021,2,5,1
491,4/16/2021,6,5,0
492,4/16/2021,2,5,0
493,4/16/2021,4,5,0
494,4/16/2021,3,5,1
495,4/16/2021,5,5,0
496,4/16/2021,4,5,0
497,4/16/2021,5,5,0
498,4/16/2021,0,5,1
499,4/16/2021,1,5,1
500,4/16/2021,6,5,0
501,4/16/2021,2,5,1
502,4/16/2021,3,5,1
503,4/16/2021,0,5,1
504,4/16/2021,0,5,1
505,4/16/2021,1,5,1
506,4/16/2021,1,5,0
507,4/16/2021,2,5,1
508,4/16/2021,3,5,1
509,4/16/2021,2,5,1
510,4/16/2021,2,5,1
511,4/16/2021,7,5,0
512,4/16/2021,3,5,1
513,4/16/2021,4,5,1
514,4/16/2021,8,5,0
515,4/16/2021,7,5,1
516,4/16/2021,6,5,0
517,4/17/2021,0,4,1
518,4/17/2021,0,4,1
519,4/17/2021,1,4,1
520,4/17/2021,1,4,0
521,4/17/2021,2,4,1
522,4/17/2021,2,4,1
523,4/17/2021,5,4,0
524,4/17/2021,3,4,1
525,4/17/2021,6,4,0
526,4/17/2021,0,4,1
527,4/17/2021,7,4,0
528,4/17/2021,1,4,1
529,4/17/2021,8,4,0
530,4/17/2021,2,4,1
531,4/17/2021,2,4,1
532,4/17/2021,6,4,0
533,4/17/2021,3,4,1
534,4/17/2021,1,4,1
535,4/17/2021,4,4,1
536,4/17/2021,5,4,0
537,4/17/2021,5,4,1
538,4/17/2021,6,4,0
539,4/17/2021,6,4,1
540,4/17/2021,2,4,1
541,4/17/2021,2,4,1
542,4/17/2021,7,4,1
543,4/18/2021,0,5,1
544,4/18/2021,0,5,1
545,4/18/2021,1,5,1
546,4/18/2021,5,5,0
547,4/18/2021,2,5,1
548,4/18/2021,2,5,1
549,4/18/2021,5,5,0
550,4/18/2021,3,5,1
551,4/18/2021,6,5,0
552,4/18/2021,0,5,1
553,4/18/2021,7,5,0
554,4/18/2021,1,5,1
555,4/18/2021,8,5,0
556,4/18/2021,4,5,1
557,4/18/2021,6,5,0
558,4/18/2021,5,5,1
559,4/18/2021,5,5,0
560,4/18/2021,4,5,1
561,4/18/2021,5,5,0
562,4/18/2021,0,5,1
563,4/18/2021,6,5,0
564,4/18/2021,1,5,1
565,4/18/2021,2,5,1
566,4/18/2021,2,5,1
567,4/18/2021,0,5,1
568,4/19/2021,0,1,1
569,4/19/2021,8,1,1
570,4/19/2021,1,1,1
571,4/19/2021,2,1,1
572,4/19/2021,2,1,1
573,4/19/2021,4,1,1
574,4/19/2021,3,1,1
575,4/19/2021,5,1,0
576,4/19/2021,0,1,1
577,4/19/2021,1,1,1
578,4/19/2021,2,1,1
579,4/19/2021,2,1,1
580,4/19/2021,6,1,0
581,4/19/2021,3,1,1
582,4/19/2021,0,1,1
583,4/19/2021,1,1,1
584,4/19/2021,7,1,0
585,4/19/2021,2,1,1
586,4/19/2021,2,1,1
587,4/19/2021,3,1,1
588,4/19/2021,0,1,1
589,4/19/2021,4,1,1
590,4/19/2021,1,1,1
591,4/19/2021,5,1,0
592,4/19/2021,2,1,1
593,4/19/2021,2,1,1
594,4/19/2021,4,1,0
595,4/19/2021,3,1,1
596,4/19/2021,0,1,1
597,4/19/2021,1,1,1
598,4/19/2021,2,1,1
599,4/19/2021,2,1,1
600,4/19/2021,3,1,1
601,4/19/2021,0,1,1
602,4/19/2021,1,1,1
603,4/19/2021,2,1,1
604,4/19/2021,2,1,1
605,4/19/2021,3,1,1
606,4/19/2021,4,1,1
607,4/19/2021,5,1,0
608,4/19/2021,5,1,1
609,4/19/2021,6,1,1
610,4/19/2021,7,1,1
611,4/19/2021,6,1,0
612,4/19/2021,4,1,1
613,4/19/2021,5,1,1
614,4/19/2021,6,1,1
615,4/19/2021,0,1,0
616,4/19/2021,7,1,1
617,4/19/2021,1,1,0
618,4/19/2021,4,1,1
619,4/19/2021,2,1,1
620,4/19/2021,2,1,1
621,4/19/2021,5,1,1
622,4/20/2021,0,2,1
623,4/20/2021,1,2,1
624,4/20/2021,2,2,1
625,4/20/2021,2,2,1
626,4/20/2021,3,2,1
627,4/20/2021,0,2,1
628,4/20/2021,5,2,0
629,4/20/2021,1,2,1
630,4/20/2021,2,2,1
631,4/20/2021,2,2,1
632,4/20/2021,3,2,1
633,4/20/2021,4,2,0
634,4/20/2021,0,2,1
635,4/20/2021,1,2,1
636,4/20/2021,2,2,1
637,4/20/2021,2,2,1
638,4/20/2021,0,2,0
639,4/20/2021,3,2,1
640,4/20/2021,0,2,1
641,4/20/2021,1,2,1
642,4/20/2021,1,2,1
643,4/20/2021,2,2,1
644,4/20/2021,2,2,1
645,4/20/2021,2,2,0
646,4/20/2021,3,2,1
647,4/20/2021,4,2,0
648,4/20/2021,0,2,1
649,4/20/2021,1,2,1
650,4/20/2021,2,2,1
651,4/20/2021,3,2,1
652,4/20/2021,0,2,1
653,4/20/2021,1,2,1
654,4/20/2021,2,2,1
655,4/20/2021,3,2,1
656,4/20/2021,2,2,1
657,4/20/2021,3,2,1
658,4/20/2021,5,2,0
659,4/20/2021,4,2,1
660,4/20/2021,7,2,1
661,4/20/2021,4,2,1
662,4/20/2021,4,2,0
663,4/20/2021,5,2,1
664,4/20/2021,6,2,1
665,4/20/2021,7,2,1
666,4/20/2021,5,2,0
667,4/20/2021,4,2,1
668,4/20/2021,6,2,0
669,4/21/2021,3,3,0
670,4/21/2021,4,3,0
671,4/21/2021,7,3,0
672,4/21/2021,0,3,1
673,4/21/2021,1,3,1
674,4/21/2021,4,3,1
675,4/21/2021,2,3,1
676,4/21/2021,3,3,1
677,4/21/2021,0,3,1
678,4/21/2021,5,3,0
679,4/21/2021,1,3,1
680,4/21/2021,6,3,0
681,4/21/2021,2,3,1
682,4/21/2021,7,3,0
683,4/21/2021,4,3,0
684,4/21/2021,3,3,1
685,4/21/2021,5,3,0
686,4/21/2021,4,3,1
687,4/21/2021,0,3,1
688,4/21/2021,0,3,0
689,4/21/2021,1,3,1
690,4/21/2021,1,3,1
691,4/21/2021,2,3,1
692,4/21/2021,2,3,1
693,4/21/2021,3,3,1
694,4/21/2021,0,3,1
695,4/21/2021,4,3,0
696,4/21/2021,1,3,1
697,4/21/2021,2,3,1
698,4/21/2021,3,3,1
699,4/21/2021,0,3,1
700,4/21/2021,1,3,1
701,4/21/2021,5,3,0
702,4/21/2021,2,3,1
703,4/21/2021,3,3,1
704,4/21/2021,0,3,1
705,4/21/2021,4,3,0
706,4/21/2021,1,3,1
707,4/21/2021,2,3,1
708,4/21/2021,3,3,1
709,4/21/2021,5,3,0
710,4/21/2021,2,3,1
711,4/21/2021,6,3,0
712,4/22/2021,0,4,0
713,4/22/2021,1,4,0
714,4/22/2021,2,4,0
715,4/22/2021,3,4,0
716,4/22/2021,0,4,1
717,4/22/2021,2,4,0
718,4/22/2021,1,4,1
719,4/22/2021,2,4,1
720,4/22/2021,3,4,1
721,4/22/2021,3,4,0
722,4/22/2021,0,4,1
723,4/22/2021,4,4,1
724,4/22/2021,1,4,1
725,4/22/2021,7,4,0
726,4/22/2021,4,4,0
727,4/22/2021,2,4,1
728,4/22/2021,5,4,0
729,4/22/2021,6,4,0
730,4/22/2021,7,4,0
731,4/22/2021,4,4,0
732,4/22/2021,3,4,1
733,4/22/2021,5,4,0
734,4/22/2021,4,4,0
735,4/22/2021,0,4,0
736,4/22/2021,0,4,1
737,4/22/2021,1,4,1
738,4/22/2021,1,4,0
739,4/22/2021,2,4,1
740,4/22/2021,3,4,1
741,4/22/2021,2,4,0
742,4/22/2021,0,4,1
743,4/22/2021,4,4,1
744,4/22/2021,4,4,0
745,4/22/2021,5,4,1
746,4/22/2021,6,4,1
747,4/22/2021,7,4,1
748,4/22/2021,5,4,0
749,4/22/2021,4,4,0
750,4/22/2021,4,4,1
751,4/22/2021,5,4,1
752,4/22/2021,5,4,0
753,4/22/2021,3,4,1
754,4/22/2021,6,4,0
755,4/23/2021,2,5,1
756,4/23/2021,0,5,1
757,4/23/2021,3,5,0
758,4/23/2021,2,5,1
759,4/23/2021,1,5,1
760,4/23/2021,3,5,0
761,4/23/2021,2,5,1
762,4/23/2021,3,5,1
763,4/23/2021,0,5,1
764,4/23/2021,4,5,0
765,4/23/2021,1,5,1
766,4/23/2021,7,5,0
767,4/23/2021,2,5,1
768,4/23/2021,4,5,0
769,4/23/2021,5,5,0
770,4/23/2021,3,5,1
771,4/23/2021,0,5,1
772,4/23/2021,6,5,0
773,4/23/2021,7,5,0
774,4/23/2021,4,5,0
775,4/23/2021,1,5,1
776,4/23/2021,5,5,0
777,4/23/2021,4,5,0
778,4/23/2021,0,5,0
779,4/23/2021,2,5,1
780,4/23/2021,3,5,1
781,4/23/2021,1,5,1
782,4/23/2021,0,5,1
783,4/23/2021,4,5,1
784,4/23/2021,2,5,0
785,4/23/2021,5,5,1
786,4/23/2021,6,5,1
787,4/23/2021,4,5,0
788,4/23/2021,7,5,1
789,4/23/2021,4,5,1
790,4/23/2021,5,5,1
791,4/23/2021,5,5,0
792,4/23/2021,4,5,0
793,4/23/2021,3,5,1
794,4/23/2021,0,5,1
795,4/23/2021,5,5,0
796,4/23/2021,1,5,1
797,4/23/2021,6,5,0
798,4/12/2021,0,1,1
799,4/12/2021,1,1,1
800,4/12/2021,2,1,1
801,4/12/2021,4,1,0
802,4/12/2021,3,1,1
803,4/12/2021,0,1,0
804,4/12/2021,0,1,1
805,4/12/2021,1,1,1
806,4/12/2021,2,1,1
807,4/12/2021,1,1,0
808,4/12/2021,3,1,1
809,4/12/2021,0,1,1
810,4/12/2021,1,1,1
811,4/12/2021,2,1,0
812,4/12/2021,2,1,1
813,4/12/2021,3,1,1
814,4/12/2021,0,1,1
815,4/12/2021,4,1,0
816,4/12/2021,1,1,1
817,4/12/2021,5,1,0
818,4/12/2021,2,1,1
819,4/12/2021,4,1,0
820,4/12/2021,3,1,1
821,4/12/2021,0,1,1
822,4/12/2021,1,1,1
823,4/12/2021,2,1,1
824,4/12/2021,3,1,1
825,4/12/2021,0,1,1
826,4/12/2021,1,1,1
827,4/12/2021,2,1,1
828,4/12/2021,3,1,1
829,4/12/2021,2,1,1
830,4/12/2021,5,1,0
831,4/12/2021,3,1,1
832,4/12/2021,4,1,1
833,4/12/2021,7,1,1
834,4/12/2021,6,1,0
835,4/12/2021,4,1,1
836,4/12/2021,5,1,1
837,4/12/2021,6,1,1
838,4/12/2021,0,1,0
839,4/12/2021,7,1,1
840,4/12/2021,1,1,1
841,4/12/2021,1,1,1
842,4/12/2021,4,1,1
843,4/12/2021,2,1,0
844,4/12/2021,5,1,1
845,4/13/2021,3,2,1
846,4/13/2021,0,2,1
847,4/13/2021,1,2,1
848,4/13/2021,1,2,1
849,4/13/2021,1,2,1
850,4/13/2021,2,2,1
851,4/13/2021,3,2,1
852,4/13/2021,1,2,1
853,4/13/2021,1,2,1
854,4/13/2021,1,2,1
855,4/13/2021,0,2,1
856,4/13/2021,1,2,1
857,4/13/2021,1,2,1
858,4/13/2021,1,2,1
859,4/13/2021,2,2,1
860,4/13/2021,2,2,0
861,4/13/2021,3,2,1
862,4/13/2021,0,2,1
863,4/13/2021,1,2,1
864,4/13/2021,1,2,1
865,4/13/2021,1,2,1
866,4/13/2021,4,2,0
867,4/13/2021,2,2,1
868,4/13/2021,3,2,1
869,4/13/2021,0,2,1
870,4/13/2021,5,2,0
871,4/13/2021,1,2,1
872,4/13/2021,1,2,1
873,4/13/2021,1,2,1
874,4/13/2021,4,2,0
875,4/13/2021,2,2,1
876,4/13/2021,5,2,0
877,4/13/2021,3,2,1
878,4/13/2021,0,2,1
879,4/13/2021,1,2,1
880,4/13/2021,1,2,1
881,4/13/2021,1,2,1
882,4/13/2021,2,2,1
883,4/13/2021,3,2,1
884,4/13/2021,2,2,1
885,4/13/2021,3,2,1
886,4/13/2021,4,2,1
887,4/13/2021,7,2,1
888,4/13/2021,4,2,1
889,4/13/2021,6,2,0
890,4/13/2021,5,2,1
891,4/13/2021,6,2,1
892,4/13/2021,7,2,1
893,4/13/2021,0,2,0
894,4/13/2021,4,2,1
895,4/13/2021,5,2,1
896,4/13/2021,4,2,1
897,4/13/2021,1,2,1
898,4/13/2021,1,2,1
899,4/13/2021,1,2,1
900,4/13/2021,0,2,1
901,4/13/2021,2,2,0
902,4/14/2021,4,3,0
903,4/14/2021,5,3,0
904,4/14/2021,6,3,0
905,4/14/2021,3,3,1
906,4/14/2021,0,3,1
907,4/14/2021,7,3,0
908,4/14/2021,1,3,1
909,4/14/2021,1,3,1
910,4/14/2021,1,3,1
911,4/14/2021,2,3,1
912,4/14/2021,3,3,1
913,4/14/2021,4,3,0
914,4/14/2021,0,3,1
915,4/14/2021,5,3,0
916,4/14/2021,1,3,1
917,4/14/2021,4,3,0
918,4/14/2021,0,3,1
919,4/14/2021,2,3,1
920,4/14/2021,1,3,1
921,4/14/2021,2,3,0
922,4/14/2021,3,3,1
923,4/14/2021,4,3,0
924,4/14/2021,0,3,1
925,4/14/2021,5,3,0
926,4/14/2021,4,3,0
927,4/14/2021,1,3,1
928,4/14/2021,2,3,1
929,4/14/2021,3,3,1
930,4/14/2021,5,3,0
